,OrganizationIdentifier,ActivityMediaSubdivisionName,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityConductingOrganizationText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName
17406,MNPCA,Surface Water,2019-08-10,,,,,45.023889,-93.277222,"Alkalinity, total"
17407,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-20,,,,,39.812772,-104.95444,Chloride
17408,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-20,,,,,40.00148,-104.825378,Calcium
17409,MNPCA,Surface Water,2019-10-23,,,,,44.86311,-93.00493,"Hardness, carbonate"
17410,BPMWQX,Surface Water,2019-01-23,,,,,37.889925,-107.650156,Magnesium
17411,INSTOR_WQX,,2019-08-13,,,,,41.5997954912,-87.3429555221,Dissolved oxygen saturation
17412,INSTOR_WQX,,2019-08-05,,,,,41.7250767749,-86.9016515024,Sulfate
17413,MNPCA,Surface Water,2019-09-17,,,,,44.932031,-93.144877,Chloride
17414,WIDNR_WQX,,2019-02-19,,WIDNR_WQX,,,45.383327,-92.65001,"Biochemical oxygen demand, standard conditions"
17415,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.48,-122.59,Fecal Coliform
17416,WIDNR_WQX,,2019-06-25,,WIDNR_WQX,,,45.884422,-89.65167,pH
17417,SAMISHINDIAN_WQX,,2019-11-12,,,,,48.5044,-122.606,Fecal Coliform
17418,21COL001_WQX,Wastewater Treatment Plant Effluent,2019-11-06,,CDPHE-WQCD,,,40.1726,-105.9157,"Alkalinity, total"
17419,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-22,,,,,39.7201,-84.2288,"Alkalinity, total"
17420,MNPCA,Surface Water,2019-10-01,,,,,44.910663,-93.192374,Chloride
17421,UTAHDWQ_WQX,,2019-05-22,,Division of Water Quality,,,38.57944,-109.57183,Sodium
17422,MNPCA,Surface Water,2019-07-20,,,,,44.97736,-93.090457,Total volatile solids
17423,MNPCA,Surface Water,2019-10-07,,,,,44.957167,-93.081783,Sulfate
17424,MNPCA,Surface Water,2019-08-16,,,,,44.910663,-93.192374,pH
17425,MNPCA,Surface Water,2019-09-11,,,,,44.97736,-93.090457,Total volatile solids
17426,UTAHDWQ_WQX,,2019-08-14,,Bureau of Land Management,,,40.06274,-109.18622,Dissolved oxygen (DO)
17427,KINGCOUNTY,,2019-03-12,,,,,47.386437,-122.475919,Fecal Coliform
17428,MNPCA,Surface Water,2019-10-08,,,,,45.050084,-93.273847,Salinity
17429,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,38.87497,-111.28156,Total suspended solids
17430,SAMISHINDIAN_WQX,,2019-03-21,,,,,48.48,-122.57,Specific conductance
17431,MNPCA,Surface Water,2019-07-09,,,,,44.9971,-93.47175,Total suspended solids
17432,MNPCA,Surface Water,2019-03-14,,,,,44.932031,-93.144877,Sulfate
17433,21VASWCB,Surface Water,2019-02-13,0.3,DEQ,,,37.9003,-75.5125,Total suspended solids
17434,UTAHDWQ_WQX,,2019-09-11,,Division of Water Quality,,,38.57944,-109.57183,Total dissolved solids
17435,WIDNR_WQX,,2019-09-03,,WIDNR_WQX,,,45.884422,-89.65167,pH
17436,MNPCA,Surface Water,2019-05-30,,,,,45.03739,-92.8425,Chloride
17437,UTAHDWQ_WQX,,2019-11-05,,Division of Water Quality,,,40.14387,-111.74946,Total suspended solids
17438,MNPCA,Surface Water,2019-08-26,,,,,44.925096,-92.91244,"Hardness, carbonate"
17439,INSTOR_WQX,,2019-10-02,,,,,41.7250767749,-86.9016515024,Turbidity
17440,21VASWCB,Surface Water,2019-04-23,0.0,DEQ,,,37.6712,-77.5668,Silica
17441,INSTOR_WQX,,2019-10-10,,,,,41.65241767,-87.4381260151,Sulfate
17442,MNPCA,Surface Water,2019-01-09,,,,,45.012778,-93.220278,"Biochemical oxygen demand, standard conditions"
17443,MNPCA,Surface Water,2019-07-15,,,,,44.910663,-93.192374,Chloride
17444,21VASWCB,,2019-10-09,0.3,DEQ,,,37.6712,-77.5668,Specific conductance
17445,SAMISHINDIAN_WQX,,2019-10-23,,,,,48.48,-122.59,Salinity
17446,SAMISHINDIAN_WQX,,2019-01-16,,,,,48.48,-122.59,Specific conductance
17447,MNPCA,Surface Water,2019-08-10,,,,,44.9971,-93.47175,Total suspended solids
17448,MNPCA,Surface Water,2019-07-23,,,,,45.012778,-93.220278,Dissolved oxygen (DO)
17449,21OHIO_WQX,Industrial Effluent,2019-05-06,,,,,39.4306,-84.4725,Calcium
17450,SSCW,,2019-06-18,,,,,42.50876,-70.88732,Enterococcus
17451,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-06,,,,,40.00148,-104.825378,"Alkalinity, total"
17452,MNPCA,Surface Water,2019-08-07,,,,,44.978056,-93.239444,Sulfate
17453,MNPCA,Surface Water,2019-03-21,,,,,44.932031,-93.144877,Total suspended solids
17454,SANDIAWQ_WQX,Surface Water,2019-08-20,,,,,35.25974,-106.59623,Relative humidity
17455,SAMISHINDIAN_WQX,,2019-03-21,,,,,48.48,-122.59,pH
17456,MNPCA,Surface Water,2019-09-12,,,,,44.84048,-93.00483,"Hardness, carbonate"
17457,MNPCA,Surface Water,2019-07-15,,,,,45.012778,-93.220278,pH
17458,SAMISHINDIAN_WQX,,2019-05-08,,,,,48.5044,-122.606,Specific conductance
17459,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-05-06,,,,,41.2869,-84.7599,Potassium
17460,INSTOR_WQX,,2019-12-04,,,,,41.7250767749,-86.9016515024,Sodium
17461,MNPCA,Surface Water,2019-01-09,,,,,45.023889,-93.277222,pH
17462,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-17,,,,,40.00148,-104.825378,Escherichia coli
17463,MNPCA,Surface Water,2019-11-21,,,,,44.97776,-93.090727,Escherichia coli
17464,SAMISHINDIAN_WQX,,2019-12-11,,,,,48.48,-122.59,pH
17465,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-20,,,,,39.812772,-104.95444,Turbidity
17466,MNPCA,Surface Water,2019-03-14,,,,,44.97776,-93.090727,Chloride
17467,MNPCA,Surface Water,2019-07-28,,,,,44.97736,-93.090457,"Hardness, carbonate"
17468,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,39.812772,-104.95444,Total suspended solids
17469,MNPCA,Surface Water,2019-08-26,,,,,44.932031,-93.144877,pH
17470,MNPCA,Surface Water,2019-06-30,,,,,45.03739,-92.8425,Total volatile solids
17471,MNPCA,Surface Water,2019-10-07,,,,,44.97736,-93.090457,pH
17472,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,40.00148,-104.825378,Fluoride
17473,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-01-16,,,,,39.812806,-104.954333,Bromide
17474,MNPCA,Surface Water,2019-08-29,,,,,44.953273,-93.074752,"Hardness, carbonate"
17475,MNPCA,Surface Water,2019-09-17,,,,,44.910663,-93.192374,Escherichia coli
17476,MNPCA,Surface Water,2019-05-18,,,,,44.932031,-93.144877,Calcium
17477,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-22,,,,,41.6872,-83.4797,"Hardness, Ca, Mg"
17478,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-19,,,,,39.812806,-104.954333,"Hardness, carbonate"
17479,MNPCA,Surface Water,2019-08-18,,,,,44.97736,-93.090457,"Hardness, carbonate"
17480,MNPCA,Surface Water,2019-07-23,,,,,44.932031,-93.144877,Total volatile solids
17481,UTAHDWQ_WQX,,2019-05-08,,Division of Water Quality,,,39.20217,-110.99596,Dissolved oxygen (DO)
17482,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-07-23,,,,,40.5703,-84.2106,"Alkalinity, total"
17483,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-21,,,,,40.00148,-104.825378,Sodium
17484,SAMISHINDIAN_WQX,,2019-10-23,,,,,48.47,-122.59,pH
17485,INSTOR_WQX,,2019-10-10,,,,,41.65241767,-87.4381260151,Total suspended solids
17486,SAMISHINDIAN_WQX,,2019-08-15,,,,,48.48,-122.59,Dissolved oxygen (DO)
17487,SAMISHINDIAN_WQX,,2019-03-21,,,,,48.48,-122.59,"Temperature, water"
17488,MNPCA,Surface Water,2019-08-20,,,,,44.953353,-93.205417,Escherichia coli
17489,MNPCA,Surface Water,2019-04-09,,,,,45.050084,-93.273847,"Biochemical oxygen demand, standard conditions"
17490,MNPCA,Surface Water,2019-05-21,,,,,45.050084,-93.273847,Chemical oxygen demand
17491,MNPCA,Surface Water,2019-06-30,,,,,45.023889,-93.277222,Total volatile solids
17492,MNPCA,Surface Water,2019-04-17,,,,,44.910663,-93.192374,Magnesium
17493,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,40.00148,-104.825378,"Temperature, water"
17494,UTAHDWQ_WQX,,2019-05-07,,Division of Water Quality,,,39.5333,-110.71293,Total suspended solids
17495,UTAHDWQ_WQX,,2019-08-20,,Division of Water Quality,,,37.0386,-113.62998,Total dissolved solids
17496,MNPCA,Surface Water,2019-06-12,,,,,44.97736,-93.090457,Total suspended solids
17497,MNPCA,Surface Water,2019-03-18,,,,,44.978056,-93.239444,Total volatile solids
17498,INSTOR_WQX,,2019-11-21,,,,,41.69232048,-87.5054023621,Silica
17499,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-06,,,,,39.812772,-104.95444,Magnesium
17500,MNPCA,Surface Water,2019-09-17,,,,,44.953273,-93.074752,Escherichia coli
17501,MNPCA,Surface Water,2019-08-19,,,,,44.978056,-93.239444,Chemical oxygen demand
17502,BPMWQX,Surface Water,2019-12-09,,,,,37.8892720817,-107.6546164882,Sulfate
17503,UTAHDWQ_WQX,,2019-04-11,,Division of Water Quality,,,37.0386,-113.62998,Dissolved oxygen (DO)
17504,MNPCA,Surface Water,2019-10-05,,,,,44.957167,-93.081783,Total suspended solids
17505,INSTOR_WQX,,2019-08-13,,,,,41.65241767,-87.4381260151,pH
17506,INSTOR_WQX,,2019-11-21,,,,,41.69232048,-87.5054023621,Sodium
17507,MNPCA,Surface Water,2019-09-12,,,,,45.023889,-93.277222,Chemical oxygen demand
17508,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-03,,,,,39.812806,-104.954333,pH
17509,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-03-18,,,,,41.1742,-83.4272,"Alkalinity, total"
17510,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-06,,,,,40.00148,-104.825378,Dissolved oxygen (DO)
17511,MNPCA,Surface Water,2019-07-24,,,,,44.86311,-93.00493,"Hardness, carbonate"
17512,MNPCA,Surface Water,2019-07-23,,,,,44.957167,-93.081783,Magnesium
17513,MNPCA,Surface Water,2019-11-14,,,,,44.953273,-93.074752,Sulfate
17514,MNPCA,Surface Water,2019-08-18,,,,,44.957167,-93.081783,Total dissolved solids
17515,SANDIAWQ_WQX,Deionized Water,2019-09-11,,,,,1.0,-1.0,Conductivity
17516,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-17,,,,,40.00148,-104.825378,Magnesium
17517,UTAHDWQ_WQX,,2019-04-18,,Division of Water Quality,,,39.5333,-110.71293,"Biochemical oxygen demand, standard conditions"
17518,MNPCA,Surface Water,2019-08-13,,,,,45.012778,-93.220278,"Carbonaceous biochemical oxygen demand, standard conditions"
17519,MNPCA,Surface Water,2019-06-20,,,,,44.989918,-93.470273,Chloride
17520,MNPCA,Surface Water,2019-05-10,,,,,45.050084,-93.273847,Salinity
17521,SANDIAWQ_WQX,,2019-08-20,,,,,35.307659,-106.561985,Sulfate
17522,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-17,,,,,39.812772,-104.95444,Total suspended solids
17523,MNPCA,Surface Water,2019-02-14,,,,,45.050084,-93.273847,Chloride
17524,MNPCA,Surface Water,2019-09-16,,,,,44.97736,-93.090457,Total suspended solids
17525,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-10-16,,,,,39.812806,-104.954333,Turbidity
17526,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-06,,,,,39.812806,-104.954333,Turbidity
17527,MNPCA,Surface Water,2019-05-08,,,,,44.957167,-93.081783,Total volatile solids
17528,UTAHDWQ_WQX,,2019-05-08,,Division of Water Quality,,,39.32302,-111.11461,Specific conductance
17529,MNPCA,Surface Water,2019-08-15,,,,,44.957167,-93.081783,"Hardness, carbonate"
17530,MNPCA,Surface Water,2019-08-07,,,,,45.012778,-93.220278,Total volatile solids
17531,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-20,,,,,40.00148,-104.825378,"Hardness, carbonate"
17532,MNPCA,Surface Water,2019-05-21,,,,,45.012778,-93.220278,Chemical oxygen demand
17533,MNPCA,Surface Water,2019-01-09,,,,,45.050084,-93.273847,pH
17534,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-03,,,,,39.812772,-104.95444,"Temperature, water"
17535,MNPCA,Surface Water,2019-01-23,,,,,45.023889,-93.277222,Total suspended solids
17536,INSTOR_WQX,,2019-04-09,,,,,41.5997954912,-87.3429555221,Fluoride
17537,MNPCA,Surface Water,2019-03-27,,,,,45.012778,-93.220278,Total dissolved solids
17538,BPMWQX,Surface Water,2019-12-06,,,,,37.8972,-107.6439,"Alkalinity, total"
17539,MTVOLWQM_WQX,Treated water supply,2019-08-28,,HDR,,,48.174717,-114.308265,Total suspended solids
17540,INSTOR_WQX,,2019-03-12,,,,,41.65241767,-87.4381260151,Dissolved oxygen (DO)
17541,MNPCA,Surface Water,2019-09-06,,,,,45.012778,-93.220278,Total volatile solids
17542,SAMISHINDIAN_WQX,,2019-08-15,,,,,48.5,-122.6,Specific conductance
17543,21VASWCB,,2019-06-06,0.1,DEQ,,,37.6712,-77.5668,Specific conductance
17544,SSCW,,2019-08-05,,,,,42.50876,-70.88732,Enterococcus
17545,SAMISHINDIAN_WQX,,2019-08-15,,,,,48.5,-122.6,Fecal Coliform
17546,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-07,,,,,39.812772,-104.95444,Conductivity
17547,MNPCA,Surface Water,2019-06-17,,,,,44.965556,-93.223333,"Carbonaceous biochemical oxygen demand, standard conditions"
17548,INSTOR_WQX,,2019-02-05,,,,,41.69232048,-87.5054023621,Total dissolved solids
17549,MNPCA,Surface Water,2019-06-23,,,,,44.989918,-93.470273,Total suspended solids
17550,MNPCA,Surface Water,2019-05-08,,,,,44.9971,-93.47175,Chloride
17551,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-21,,,,,40.00148,-104.825378,Escherichia coli
17552,MNPCA,Surface Water,2019-07-23,,,,,44.97776,-93.090727,Total dissolved solids
17553,SNOQUALM_WQX,,2019-04-05,,,,,47.5215,-121.843,Fluoride
17554,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.49,-122.61,"Temperature, water"
17555,KINGCOUNTY,,2019-10-28,,,,,47.372544,-122.451618,Fecal Coliform
17556,INSTOR_WQX,,2019-09-19,,,,,41.69232048,-87.5054023621,"Alkalinity, total"
17557,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-01-02,,,,,39.812772,-104.95444,"Alkalinity, total"
17558,SAMISHINDIAN_WQX,,2019-05-08,,,,,48.48,-122.59,Dissolved oxygen (DO)
17559,MNPCA,Surface Water,2019-03-18,,,,,44.978056,-93.239444,Sulfate
17560,MNPCA,Surface Water,2019-08-03,,,,,45.012778,-93.220278,Total suspended solids
17561,PALERMOWELLFIELD_WQX,Groundwater,2019-10-20,,"GeoEngineers, Inc.",,,47.0020393,-122.9116999,Oxidation reduction potential (ORP)
17562,21VASWCB,Surface Water,2019-10-31,0.3,DEQ,,,37.9003,-75.5125,Total suspended solids
17563,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-06,,,,,39.812772,-104.95444,Dissolved oxygen (DO)
17564,MNPCA,Surface Water,2019-05-27,,,,,45.050084,-93.273847,"Biochemical oxygen demand, standard conditions"
17565,UTAHDWQ_WQX,,2019-03-20,,Bureau of Land Management,,,40.06274,-109.18622,Total suspended solids
17566,INSTOR_WQX,,2019-12-04,,,,,41.7250767749,-86.9016515024,Calcium carbonate
17567,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-10-16,,,,,39.812772,-104.95444,Chloride
17568,MNPCA,Surface Water,2019-09-17,,,,,44.932031,-93.144877,Total volatile solids
17569,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-10-22,,,,,40.35316,-83.7773,"Hardness, Ca, Mg"
17570,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-19,,,,,40.00148,-104.825378,Potassium
17571,UTAHDWQ_WQX,,2019-01-16,,Division of Water Quality,,,39.5333,-110.71293,Total suspended solids
17572,WIDNR_WQX,,2019-02-04,1.0,WIDNR_WQX,,,46.535004,-91.58253,"Biochemical oxygen demand, standard conditions"
17573,UTAHDWQ_WQX,,2019-02-12,,Division of Water Quality,,,39.32302,-111.11461,Total dissolved solids
17574,MNPCA,Surface Water,2019-04-17,,,,,44.910663,-93.192374,Sulfate
17575,MNPCA,Surface Water,2019-09-11,,,,,44.953353,-93.205417,pH
17576,UTAHDWQ_WQX,,2019-07-17,,Division of Water Quality,,,38.57944,-109.57183,Sodium
17577,UTAHDWQ_WQX,,2019-07-15,,Division of Water Quality,,,39.32302,-111.11461,pH
17578,MNPCA,Surface Water,2019-10-21,,,,,44.97776,-93.090727,Total dissolved solids
17579,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-06,,,,,39.812806,-104.954333,Calcium
17580,MNPCA,Surface Water,2019-10-02,,,,,44.957167,-93.081783,Calcium
17581,INSTOR_WQX,,2019-10-10,,,,,41.5997954912,-87.3429555221,Turbidity
17582,WIDNR_WQX,,2019-02-19,,WIDNR_WQX,,,45.383327,-92.65001,Calcium carbonate
17583,INSTOR_WQX,,2019-07-09,,,,,41.6183461878,-87.1990612156,Total suspended solids
17584,INSTOR_WQX,,2019-03-04,,,,,41.7250767749,-86.9016515024,Calcium carbonate
17585,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-11-18,,,,,39.9073,-83.0087,Chemical oxygen demand
17586,INSTOR_WQX,,2019-04-02,,,,,41.6183461878,-87.1990612156,pH
17587,MNPCA,Surface Water,2019-03-13,,,,,45.050084,-93.273847,"Carbonaceous biochemical oxygen demand, standard conditions"
17588,UTAHDWQ_WQX,,2019-03-26,,Division of Water Quality,,,39.32302,-111.11461,Total suspended solids
17589,MNPCA,Surface Water,2019-10-23,,,,,44.94981,-92.92872,Total volatile solids
17590,MNPCA,Surface Water,2019-01-23,,,,,44.978056,-93.239444,pH
17591,21VASWCB,,2019-05-15,0.3,DEQ,,,37.6712,-77.5668,"Temperature, water"
17592,INSTOR_WQX,,2019-11-21,,,,,41.65241767,-87.4381260151,Total solids
17593,MNPCA,Surface Water,2019-05-31,,,,,45.012778,-93.220278,Total dissolved solids
17594,INSTOR_WQX,,2019-11-21,,,,,41.5997954912,-87.3429555221,Dissolved oxygen (DO)
17595,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-07-23,,,,,40.5703,-84.2106,Magnesium
17596,MNPCA,Surface Water,2019-08-28,,,,,44.910663,-93.192374,Calcium
17597,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-06,,,,,40.00148,-104.825378,"Biochemical oxygen demand, standard conditions"
17598,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-06,,,,,40.00148,-104.825378,"Biochemical oxygen demand, standard conditions"
17599,MNPCA,Surface Water,2019-06-30,,,,,44.97776,-93.090727,Total dissolved solids
17600,SAMISHINDIAN_WQX,,2019-12-11,,,,,48.48,-122.59,Turbidity
17601,MNPCA,Surface Water,2019-07-02,,,,,44.94981,-92.92872,Total volatile solids
17602,MNPCA,Surface Water,2019-02-27,,,,,44.957167,-93.081783,Chloride
17603,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812806,-104.954333,Conductivity
17604,21VASWCB,,2019-04-15,0.3,DEQ,,,37.6712,-77.5668,Specific conductance
17605,MNPCA,Surface Water,2019-09-25,,,,,44.809706,-92.930417,Total suspended solids
17606,WIDNR_WQX,,2019-09-17,4.0,WIDNR_WQX,,,45.82015,-91.89824,pH
17607,SSCW,,2019-08-19,,,,,42.5101,-70.88787,Enterococcus
17608,MNPCA,Surface Water,2019-10-05,,,,,44.97776,-93.090727,Total suspended solids
17609,MNPCA,Surface Water,2019-05-08,,,,,44.957167,-93.081783,Calcium
17610,MNPCA,Surface Water,2019-09-06,,,,,45.050084,-93.273847,"Hardness, carbonate"
17611,21VASWCB,,2019-11-06,0.3,DEQ,,,37.6712,-77.5668,Specific conductance
17612,UTAHDWQ_WQX,,2019-07-15,,Division of Water Quality,,,39.68441,-111.20073,Potassium
17613,SAMISHINDIAN_WQX,,2019-10-23,,,,,48.47,-122.57,Turbidity
17614,MNPCA,Surface Water,2019-09-11,,,,,44.932031,-93.144877,Total volatile solids
17615,KINGCOUNTY,,2019-04-30,,,,,47.330951,-122.499858,Fecal Coliform
17616,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-21,,,,,39.812806,-104.954333,"Carbonaceous biochemical oxygen demand, standard conditions"
17617,WFWQC_UT,,2019-11-12,,,,,40.21143,-111.65195,Total suspended solids
17618,WIDNR_WQX,,2019-10-15,4.0,WIDNR_WQX,,,45.82015,-91.89824,pH
17619,MNPCA,Surface Water,2019-06-14,,,,,45.012778,-93.220278,Total volatile solids
17620,BPMWQX,Surface Water,2019-01-09,,,,,37.889925,-107.650156,Sodium
17621,INSTOR_WQX,,2019-09-19,,,,,41.69232048,-87.5054023621,Chemical oxygen demand
17622,WIDNR_WQX,,2019-09-17,4.0,WIDNR_WQX,,,45.82015,-91.89824,Total suspended solids
17623,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-20,,,,,40.00148,-104.825378,pH
17624,MNPCA,Surface Water,2019-01-23,,,,,44.978056,-93.245,pH
17625,MNPCA,Surface Water,2019-09-02,,,,,44.932031,-93.144877,pH
17626,SANDIAWQ_WQX,Surface Water,2019-08-20,,,,,35.307659,-106.561985,Specific conductance
17627,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-05,,,,,40.00148,-104.825378,Bromide
17628,SAMISHINDIAN_WQX,,2019-02-28,,,,,48.47,-122.59,Fecal Coliform
17629,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,39.812806,-104.954333,Sodium
17630,MNPCA,Surface Water,2019-02-13,,,,,44.978056,-93.245,pH
17631,MNPCA,Surface Water,2019-08-10,,,,,44.953353,-93.205417,Total suspended solids
17632,MNPCA,Surface Water,2019-09-25,,,,,44.86311,-93.00493,Total suspended solids
17633,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-01-02,,,,,39.812772,-104.95444,Turbidity
17634,MNPCA,Surface Water,2019-05-10,,,,,45.050084,-93.273847,Total suspended solids
17635,MNPCA,Surface Water,2019-08-28,,,,,44.910663,-93.192374,Chloride
17636,INSTOR_WQX,,2019-12-10,,,,,41.65241767,-87.4381260151,Escherichia coli
17637,SAMISHINDIAN_WQX,,2019-05-08,,,,,48.48,-122.59,Turbidity
17638,WIDNR_WQX,,2019-07-30,,WIDNR_WQX,,,45.884422,-89.65167,"Temperature, water"
17639,MNPCA,Surface Water,2019-05-21,,,,,45.050084,-93.273847,Chloride
17640,MNPCA,Surface Water,2019-08-29,,,,,44.932031,-93.144877,Escherichia coli
17641,21OHIO_WQX,Industrial Effluent,2019-06-25,,,,,40.53075,-81.494557,Sodium
17642,MNPCA,Surface Water,2019-06-26,,,,,44.978056,-93.245,Total volatile solids
17643,UTAHDWQ_WQX,,2019-07-24,,Bureau of Land Management,,,40.06274,-109.18622,Dissolved oxygen saturation
17644,UTAHDWQ_WQX,,2019-01-16,,Division of Water Quality,,,39.46025,-111.16661,"Temperature, water"
17645,MNPCA,Surface Water,2019-06-26,,,,,44.978056,-93.245,Sulfate
17646,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-03-18,,,,,41.1742,-83.4272,Total dissolved solids
17647,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-18,,,,,39.812806,-104.954333,Chloride
17648,INSTOR_WQX,,2019-10-10,,,,,41.5997954912,-87.3429555221,Chloride
17649,INSTOR_WQX,,2019-05-14,,,,,41.5997954912,-87.3429555221,Turbidity
17650,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-01,,,,,39.812772,-104.95444,Magnesium
17651,SAMISHINDIAN_WQX,,2019-02-28,,,,,48.48,-122.57,Turbidity
17652,INSTOR_WQX,,2019-11-21,,,,,41.5997954912,-87.3429555221,Total dissolved solids
17653,SAMISHINDIAN_WQX,,2019-09-25,,,,,48.47,-122.59,pH
17654,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,37.0386,-113.62998,Dissolved oxygen (DO)
17655,WIDNR_WQX,,2019-04-01,1.0,WIDNR_WQX,,,46.535004,-91.58253,Chloride
17656,BPMWQX,Surface Water,2019-12-06,,,,,37.87673048,-107.6443288,Chloride
17657,UTAHDWQ_WQX,,2019-06-18,,Division of Water Quality,,,39.5333,-110.71293,pH
17658,MNPCA,Surface Water,2019-01-23,,,,,45.050084,-93.273847,Dissolved oxygen (DO)
17659,INSTOR_WQX,,2019-09-19,,,,,41.69232048,-87.5054023621,Total dissolved solids
17660,MNPCA,Surface Water,2019-04-17,,,,,44.932031,-93.144877,Total dissolved solids
17661,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-03-20,,,,,40.672475,-82.573719,Total suspended solids
17662,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-18,,,,,39.812772,-104.95444,"Hardness, carbonate"
17663,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.5,-122.6,Salinity
17664,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,38.87497,-111.28156,Magnesium
17665,MNPCA,Surface Water,2019-03-21,,,,,44.910663,-93.192374,Total volatile solids
17666,UTAHDWQ_WQX,,2019-02-12,,Division of Water Quality,,,39.46025,-111.16661,Magnesium
17667,21VASWCB,,2019-02-13,0.3,DEQ,,,37.9778,-75.5476,pH
17668,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-17,,,,,40.672475,-82.573719,Magnesium
17669,SANDIAWQ_WQX,Surface Water,2019-08-20,,,,,35.25974,-106.59623,"Wind direction (direction from, expressed 0-360 deg)"
17670,BPMWQX,Surface Water,2019-12-06,,,,,37.87673048,-107.6443288,"Alkalinity, total"
17671,INSTOR_WQX,,2019-09-19,,,,,41.69232048,-87.5054023621,"Hardness, carbonate"
17672,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-04,,,,,39.812772,-104.95444,Chloride
17673,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,39.812772,-104.95444,Chloride
17674,WIDNR_WQX,,2019-06-11,4.0,WIDNR_WQX,,,45.82015,-91.89824,Total suspended solids
17675,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-20,,,,,39.812772,-104.95444,"Carbonaceous biochemical oxygen demand, standard conditions"
17676,INSTOR_WQX,,2019-03-05,,,,,41.6183461878,-87.1990612156,"Hardness, carbonate"
17677,MNPCA,Surface Water,2019-09-16,,,,,44.97736,-93.090457,Calcium
17678,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812772,-104.95444,Potassium
17679,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-30,,,,,39.2506,-84.2894,Chloride
17680,INSTOR_WQX,,2019-10-10,,,,,41.65241767,-87.4381260151,Calcium carbonate
17681,INSTOR_WQX,,2019-10-10,,,,,41.69232048,-87.5054023621,Total suspended solids
